category,file_name,aviation_score,finance_score,infrastructure_score,power_score,is_accurate
aviation,./articles/aviation/data0.txt,12.25,0,2.25,2.0,
aviation,./articles/aviation/data1.txt,9.5,5.0,0,1.5,
aviation,./articles/aviation/data10.txt,17.0,0.25,0.5,0,
aviation,./articles/aviation/data11.txt,21.0,0.25,0,0,
aviation,./articles/aviation/data12.txt,13.75,1.0,1.5,0,
aviation,./articles/aviation/data13.txt,14.0,0,0.25,0,
aviation,./articles/aviation/data14.txt,21.25,0,8.0,2.5,
aviation,./articles/aviation/data15.txt,12.75,0.25,0.75,0,
aviation,./articles/aviation/data16.txt,27.25,0,1.5,1.75,
aviation,./articles/aviation/data17.txt,18.5,0,0.75,0,
aviation,./articles/aviation/data18.txt,15.5,3.25,0.5,0,
aviation,./articles/aviation/data19.txt,9.0,0,0.5,0,
aviation,./articles/aviation/data2.txt,27.75,4.0,1.0,0.25,
aviation,./articles/aviation/data3.txt,25.75,0.75,2.0,0.75,
aviation,./articles/aviation/data4.txt,1.25,0.5,7.75,15.25,
aviation,./articles/aviation/data5.txt,17.5,0.25,3.25,4.25,
aviation,./articles/aviation/data6.txt,28.0,4.75,0.75,0.25,
aviation,./articles/aviation/data7.txt,16.75,0,2.25,0,
aviation,./articles/aviation/data8.txt,28.0,4.75,0.75,0.25,
aviation,./articles/aviation/data9.txt,5.75,0,0,0,
finance,./articles/finance/data0.txt,0,0,0,0,
finance,./articles/finance/data1.txt,0,4.5,0.25,0,
finance,./articles/finance/data10.txt,0.75,4.25,0,0,
finance,./articles/finance/data11.txt,0,1.5,0,2.5,
finance,./articles/finance/data12.txt,0,0.75,0.25,0,
finance,./articles/finance/data13.txt,0,0.75,0.75,0,
finance,./articles/finance/data14.txt,0.25,8.25,0.75,0,
finance,./articles/finance/data15.txt,0,0,0,0,
finance,./articles/finance/data16.txt,0,8.0,3.75,0.25,
finance,./articles/finance/data17.txt,0,3.25,0.25,0.75,
finance,./articles/finance/data18.txt,0,0,0,0,
finance,./articles/finance/data19.txt,0,17.5,0,4.5,
finance,./articles/finance/data2.txt,0,17.75,1.5,0,
finance,./articles/finance/data3.txt,0,0,0,0,
finance,./articles/finance/data4.txt,0,0,0,0,
finance,./articles/finance/data5.txt,0,0,0,0,
finance,./articles/finance/data6.txt,0,2.0,1.5,1.25,
finance,./articles/finance/data7.txt,0,43.75,1.75,0,
finance,./articles/finance/data8.txt,0,19.75,0,1.0,
finance,./articles/finance/data9.txt,0,9.25,1.5,0.25,
infrastructure,./articles/infrastructure/data0.txt,0,2.75,5.25,0,
infrastructure,./articles/infrastructure/data1.txt,0,5.75,12.25,0,
infrastructure,./articles/infrastructure/data10.txt,0,2.5,7.75,0,
infrastructure,./articles/infrastructure/data11.txt,0,0,0,0,
infrastructure,./articles/infrastructure/data12.txt,0,0,5.0,0,
infrastructure,./articles/infrastructure/data13.txt,0,0.25,5.25,0,
infrastructure,./articles/infrastructure/data14.txt,0,0.25,2.25,0,
infrastructure,./articles/infrastructure/data15.txt,0,0,0,0,
infrastructure,./articles/infrastructure/data16.txt,0,14.5,4.0,0,
infrastructure,./articles/infrastructure/data17.txt,0,0,0,0,
infrastructure,./articles/infrastructure/data18.txt,0,5.75,19.25,0,
infrastructure,./articles/infrastructure/data19.txt,0,6.75,23.75,0,
infrastructure,./articles/infrastructure/data2.txt,0,4.0,9.5,0,
infrastructure,./articles/infrastructure/data3.txt,0,7.5,11.75,0,
infrastructure,./articles/infrastructure/data4.txt,0.5,1.0,13.25,0.5,
infrastructure,./articles/infrastructure/data5.txt,0,4.25,29.5,0,
infrastructure,./articles/infrastructure/data6.txt,0,2.75,10.25,0,
infrastructure,./articles/infrastructure/data7.txt,0,0,8.25,0,
infrastructure,./articles/infrastructure/data8.txt,0,9.0,12.5,1.0,
infrastructure,./articles/infrastructure/data9.txt,0.75,0,6.5,0,
power,./articles/power/data0.txt,0,1.0,0,19.0,
power,./articles/power/data1.txt,0,0.75,0,3.75,
power,./articles/power/data10.txt,9.0,1.75,0.5,8.5,
power,./articles/power/data11.txt,0,0,0.5,11.0,
power,./articles/power/data12.txt,0,2.75,0.25,6.25,
power,./articles/power/data13.txt,0,0,0,0,
power,./articles/power/data14.txt,0,0,0,0,
power,./articles/power/data15.txt,0,0.5,0.75,15.0,
power,./articles/power/data16.txt,0,2.0,2.0,17.0,
power,./articles/power/data17.txt,0,0,0,0,
power,./articles/power/data18.txt,0,0,2.75,12.5,
power,./articles/power/data19.txt,0,0.25,0.5,16.0,
power,./articles/power/data2.txt,0.25,2.75,0.5,3.75,
power,./articles/power/data3.txt,0.75,4.0,3.75,4.75,
power,./articles/power/data4.txt,0,3.0,0.5,4.75,
power,./articles/power/data5.txt,0,1.75,0.5,5.75,
power,./articles/power/data6.txt,0,1.75,0.25,23.75,
power,./articles/power/data7.txt,0.25,3.5,0.5,58.0,
power,./articles/power/data8.txt,0.25,6.5,1.0,5.0,
power,./articles/power/data9.txt,0,3.25,0.75,1.0,
